variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,learning_rate_retry,note,infeasible_reason,device_name,batch_size,history,horizon
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2047,completed,3,0.8459345698356628,8.311286614999972,0.05021203600017543,test,34386,34383,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2047.npz,0.5402378439903259,0.7350087373564521,0.5136335492134094,54.640342712402344,38.18337631225586,58.084632873535156,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2048,completed,3,1.7303674221038818,8.192110715000126,0.03978117299993755,test,34386,34383,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2048.npz,0.7861937284469604,0.8866756613593048,0.6584948897361755,65.91521453857422,48.952327728271484,65.7717056274414,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2049,completed,13,0.8104544878005981,17.318326075000186,0.03861080100023173,test,34386,34383,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2049.npz,0.5007408857345581,0.7076304725876057,0.4658771753311157,52.60505294799805,34.633182525634766,53.428733825683594,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2047,completed,6,1.7907326221466064,11.758255546000328,0.04798221900000499,test,34002,33999,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2047.npz,1.0814579725265503,1.0399317153191119,0.7641085386276245,77.30823516845703,56.803619384765625,71.23334503173828,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",True,nonfinite loss at protocol lr; retried once with lr/10,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2048,completed,13,0.9694676995277405,17.502238330000182,0.03892095699984566,test,34002,33999,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2048.npz,0.6289806365966797,0.7930829947720981,0.5596280694007874,58.95757293701172,41.60260009765625,62.996726989746094,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2049,completed,4,1.5311132669448853,9.177613768000356,0.03903297399983785,test,34002,33999,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2049.npz,2.0070748329162598,1.4167126853798762,0.7212228775024414,105.31803131103516,53.61551284790039,71.7496337890625,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
patchtst_ci_top5_default,patchtst_ci_top5,2047,completed,14,0.7923688292503357,100.15353483999979,0.24425297199968554,test,33755,33752,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2047.npz,0.5525313019752502,0.7433244930548504,0.49937015771865845,55.2585334777832,37.12303924560547,51.939945220947266,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""stride"": 2}",,,,,,,
patchtst_ci_top5_default,patchtst_ci_top5,2048,completed,30,0.8144494295120239,154.54186823999999,0.24186135999980252,test,33755,33752,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2048.npz,0.5061177611351013,0.7114195394667631,0.47434356808662415,52.8867301940918,35.2625732421875,49.47676467895508,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""stride"": 2}",True,nonfinite loss at protocol lr; retried once with lr/10,,,,,
patchtst_ci_top5_default,patchtst_ci_top5,2049,completed,30,0.8186657428741455,153.1955451179997,0.2540886000001592,test,33755,33752,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2049.npz,0.5395863056182861,0.7345653855296247,0.4942907691001892,54.607383728027344,36.745445251464844,51.12423324584961,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""stride"": 2}",True,nonfinite loss at protocol lr; retried once with lr/10,,,,,
multi_gru_default,multi_gru,2047,completed,10,0.7728122472763062,13.186514661000274,0.06258068800025285,test,37212,37212,C,default,default,18,,predictions/multi_gru_default_seed2047.npz,0.4685724377632141,0.6845235114758398,0.4514193832874298,50.88728713989258,33.558387756347656,46.45607376098633,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}",,,,,,,
multi_gru_default,multi_gru,2048,nonfinite,0,,,,test,37212,37212,C,default,default,18,,,,,,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}",,,non-finite training loss at protocol lr and at lr/10: multi_gru_default seed=2048 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,12.0
multi_gru_default,multi_gru,2049,nonfinite,0,,,,test,37212,37212,C,default,default,18,,,,,,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}",,,non-finite training loss at protocol lr and at lr/10: multi_gru_default seed=2049 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,12.0
